The faculty covers the entire syllabus,COURSE CONTENT
The faculty discusses topics and interact in the class,COURSE CONTENT
The faculty communicates clearly and inspires by teaching.,COURSE CONTENT
The faculty is punctual in the class.,TEACHING -LEARNING PROCESS
The faculty comes well prepared for the class.,TEACHING -LEARNING PROCESS
The faculty encourages participation and discussion in class.,TEACHING -LEARNING PROCESS
The faculty guides; counsels in academic & extracircular,TEACHING -LEARNING PROCESS
The faculty uses teaching aids; PPTs; OHP. etc.,TEACHING -LEARNING PROCESS
The faculty attitude towards students is friendly & helpful.,TEACHING -LEARNING PROCESS
The faculty is available and accessible in the Department.,EVALUATION PROCESS
The evaluation process is fair and unbiased.,EVALUATION PROCESS
Regular and timely feedback is given on our performance.,EVALUATION PROCESS
Periodical assessments are conducted as per schedule.,EVALUATION PROCESS
I have learnt & understood the subject from Faculty material,EVALUATION PROCESS
The faculty covers Previous University QP Topics.,EVALUATION PROCESS
